Bestioles,Accueil du site des bestioles,https://www.bestioles.ca/
Animaux,Les différents genres d'animaux,https://www.bestioles.ca/animaux/
"Animaux 
            aquatiques",Les animaux et insectes aquatiques,https://www.bestioles.ca/animaux/aquatiques.html
Baleines,La baleine est le plus gros       animal au monde,https://www.bestioles.ca/mammiferes/baleines.html
Bélugas,Le béluga est une baleine,https://www.bestioles.ca/mammiferes/belugas.html
Cachalots,Le cachalot est une baleine       à dents,https://www.bestioles.ca/mammiferes/cachalots.html
Dauphins,Le dauphin aime s'amuser,https://www.bestioles.ca/mammiferes/dauphins.html
Dauphins souffleurs,Le dauphin souffleur est un       mammifère marin,https://www.bestioles.ca/mammiferes/dauphin-souffleur.html
Elephants de mer,L'éléphant de mer est un       des lpus gros mammifères,https://www.bestioles.ca/mammiferes/elephants-de-mer.html
Lamantins,Le lamantin est un gros       mammifère marin,https://www.bestioles.ca/mammiferes/lamantin.html
Lion de mer,Le lion de mer est un       mammifère,https://www.bestioles.ca/mammiferes/lion-de-mer.html
Loup marin,Le loup marin est le phoque       du Groendland,https://www.bestioles.ca/mammiferes/loup-marin.html
Marsouins,Le marsouin ressemble au       dauphin,https://www.bestioles.ca/mammiferes/marsouins.html
Morse,Le morse est un animal       marin,https://www.bestioles.ca/mammiferes/morses.html
Narvals,Le narval est un cétacés,https://www.bestioles.ca/mammiferes/narvals.html
Orques,L'orque ou épaulard,https://www.bestioles.ca/mammiferes/orques.html
Otarie,L'otarie est un animal       gourmand,https://www.bestioles.ca/mammiferes/otarie.html
Phoques,Le phoque est habile dans       l'eau,https://www.bestioles.ca/mammiferes/phoque.html
Rorquals bleus,Le rorqual bleu est le plus       gros mammifère au monde,https://www.bestioles.ca/mammiferes/rorqual-bleu.html
Bovidés,Les animaux de la famille des bovidés,https://www.bestioles.ca/mammiferes/bovides-bovidae.html
Cervidés,Les animaux cervidés,https://www.bestioles.ca/animaux/cervides.html
Caribou,Le caribou ou le renne,https://www.bestioles.ca/mammiferes/caribou.html
Cerf,Les cerfs des ruminants       herbivores,https://www.bestioles.ca/mammiferes/cerfs.html
Chevreuils,Le chevreuil est le plus petit cervidé       du Canada,https://www.bestioles.ca/mammiferes/chevreuil.html
Chevrotain porte-musc,Le chevrotain porte-musc       est en voie de disparition,https://www.bestioles.ca/mammiferes/chevrotain-porte-musc.html
Élans,"L'élan, aussi appelé orignal est un       gros cervidé",https://www.bestioles.ca/mammiferes/elans.html
Daim,Le daim est un animal       herbivore,https://www.bestioles.ca/mammiferes/daims.html
Domestiques,Les animaux domestiques,https://www.bestioles.ca/domestiques/
Anes,L'âne est ressemble au       cheval mais en plus petit,https://www.bestioles.ca/domestiques/anes.html
Animaux de la ferme,Les animaux domestiqués de la ferme,https://www.bestioles.ca/domestiques/ferme.html
Chats domestiques,Les chats sont des félidés de petites       tailles dont on fait l'élevage,https://www.bestioles.ca/domestiques/chats.html
Chevaux,Les chevaux sauvages ont       été domestiqués pour le transport et travail agricole,https://www.bestioles.ca/domestiques/cheval.html
Chien domestique,Beaucoup de races de chiens sont utiles       pour l'homme,https://www.bestioles.ca/domestiques/chiens.html
Moutons,"On fait l'élevage des       moutons pour leurs laine, le lait, le fromage, la peau",https://www.bestioles.ca/domestiques/moutons.html
Mulet,Le mulet est un croisement,https://www.bestioles.ca/domestiques/mulets.html
Vaches laitières,La vache laitière est la       productrice du lait pour notre alimentation,https://www.bestioles.ca/domestiques/vaches.html
Félins,Les animaux du groupe des félins,https://www.bestioles.ca/felins/
Caracals,Le caracal est agile dans       les arbres,https://www.bestioles.ca/felins/caracal.html
Chat,Le chat est un petit félin qui est       domestiqué,https://www.bestioles.ca/felins/chat.html
Chat sauvage,Le chat sauvage est n'est pas un chat       domestique,https://www.bestioles.ca/felins/chat-sauvage.html
"Chats 
            viverrins",Le chat viverrin ou chat       pêcheur,https://www.bestioles.ca/felins/chat-viverrin.html
